identifier,title,creator,date,year,language,description,publisher,source,collected_date
McGillLibrary-osl_liber-moralitatum-elegantissimus-magnaurm_folioWZ230F225L1477-24947,Liber moralitatum elegantissimus magnaurm re naturalium Lumen animae dictus. : Cum septem apparitoribus necnon sanctorum docto[rum] orthodoxe fidei professorum. Poetarum etiam ac oratorum auctoritatibus per modu[m] pharatre s[ecundu]m ordinem alphabeti collectis feliciter incipit,"Farinator, Matthias, active 1477. https://id.oclc.org/worldcat/entity/E39PBJc3HyJ4XVXY94QXGtdhHC",1477-01-01T00:00:00Z,1477,Latin,[370] leaves ; 29 cm.,[Augsburg] : ... per me Anthonium Sorg ciuem Augusten. artis impressorie magistrum,Internet Archive,2025-11-19T09:09:21.650959
McGillLibrary-osl_de-sermonum-proprietate_folioWZ230H873s1467-24097,De sermonum proprietate,"Rabanus Maurus, Archbishop of Mainz, 784?-856",1467-01-01T00:00:00Z,1467,Latin,170 unnumbered leaves (first and last 2 blank) ; (fol.),[Strassburg] : ['R' Printer (Adolf Rusch)],Internet Archive,2025-11-19T09:09:21.651003
McGillLibrary-osl_de-visione-dei-etc_folioWZ230N6391500-24094,"De visione dei, etc","Nicholas, of Cusa, Cardinal, 1401-1464",1488-01-01T00:00:00Z,1488,Latin,170 leaves 24 cm,[Strassburg] [M. Flach],Internet Archive,2025-11-19T09:09:21.651017
McGillLibrary-osl_c-plynii-secvndi-natvralis-historiae_folioWZ230P728h1473-24052,C. Plynii secvndi Natvralis historiae liber primvs de his qvae singvlis libris continentvr incipit foeliciter,"Pliny, the Elder",1473-01-01T00:00:00Z,1473,Latin,[794] p. ; 40 cm. (fol.),[Rome : Conradus Sweynheym and Arnoldus Pannartz],Internet Archive,2025-11-19T09:09:21.651029
McGillLibrary-osl_incipit-prohemium-proprietatibus_folioWZ230B287p1482-24055,Incipit p[ro]hemium de p[ro]prietatibus reru[m] fratris Bartholomei A[n]glici de ordine fratrum minorum,"Bartholomaeus, Anglicus, active 13th century",1482-01-01T00:00:00Z,1482,Latin,[572] pages ; 30 cm (Folio),[Lyon] : [Nicolaus Philippi and Marcus Reinhart],Internet Archive,2025-11-19T09:09:21.651039
McGillLibrary-osl_theologia-naturalis-sive-liber-creaturarum_folioWZ230R2738t1496-23848,"Theologia naturalis, sive Liber creaturarum","Raymond, of Sabunde, -1436",1496-01-01T00:00:00Z,1496,Latin,"162 leaves in 2 columns, 1 leaf, blank, wanting. 29 cm","Strassburg (Argentine), Martinus Flach",Internet Archive,2025-11-19T09:09:21.651054
McGillLibrary-osl_libellus-de-egritudinibus-infantium_WZ230B1441472-1473-23851,Libellus de egritudinibus infantium,"Bagellardo, Paolo, -1492?",1472-01-01T00:00:00Z,1472,Latin,[40] leaves ; 19 cm. (4to),[Padua : Bartholomaeus de Valdezoccho and Martinus de Septem Arboribus],Internet Archive,2025-11-19T09:09:21.651064
McGillLibrary-osl_de-peste-de-venenis_folioWZ230G898p-23833,De peste. De venenis,"Guainerio, Antonio, -1440",1487-01-01T00:00:00Z,1487,Latin,43 unnumbl. leaves 28 cm (fol.),[Venice] [Reynaldus de Novimagio],Internet Archive,2025-11-19T09:09:21.651074
McGillLibrary-osl_ioannis-scoti-theologi-subtilissimi_folioWZ230D926s1472-23836,Ioannis Scoti theologi subtilissimi sup[er] p[ri]mu[m] sente[n]tia[rum],"Duns Scotus, John, approximately 1266-1308",1472-01-01T00:00:00Z,1472,Latin,224 unnumbered leaves (210 and 224 blank) ; 34 cm (fol.),[Venice] : Windelinu[m] Spirensem,Internet Archive,2025-11-19T09:09:21.651306
McGillLibrary-osl_corona-florida-medicinae_folioWZ230G289c1491-23823,"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491-01-01T00:00:00Z,1491,Latin,1 volume ; 32 cm (fol.),"Venice : Joannes and Gregorius de Gregoriis, de Forlivio",Internet Archive,2025-11-19T09:09:21.651323
McGillLibrary-osl_ortus-sanitatis_folioO781497-23813,Hortus sanitatis. maior.,"Per Bernardinum Benalium et Joannem de Cereto de Tridino alias Tacuinum,",1511-01-01T00:00:00Z,1511,Latin,[367] leaves : illustrations (woodcuts) ; 32 cm,"Impressum Venetijs : Per Bernardinum Benalium et Joannem de Cereto de Tridino alias Tacuinum, 1511.",Internet Archive,2025-11-19T09:09:21.651343
McGillLibrary-osl_sphaerae-mundi_wz230s123s1490-23810,Sphaerae mundi,"Sacro Bosco, Joannes de, active 1230",1490-01-01T00:00:00Z,1490,Latin,"48 leaves : illustrations (woodcuts, some color) ; 22 cm",Venetiis : Mandato et expensis ... Octaviani Scoti,Internet Archive,2025-11-19T09:09:21.651362
McGillLibrary-osl_expositio-gentilis-de-fulgineo_folioWZ230A957e1478-23798,Expositio gentilis de fulgineo in tertium librum Canonis Avicennae ...,"Avicenna, 980-1037",1478-01-01T00:00:00Z,1478,Latin,286 leaves ; 42 cm,Pavia : Damianum de conphaloneriis de binascho,Internet Archive,2025-11-19T09:09:21.651372
McGillLibrary-osl_isidori-iunioris-hispalensis-episcopi_folioWZ230I81e1472-23777,Isidori Iunioris Hispalensis episcopi Ethimologiarum libri numero viginti finiunt foeliciter ..,"Isidore, of Seville, Saint, -636",1472-01-01T00:00:00Z,1472,Latin,"264 leaves : illustrations, map ; 31 cm",Augsburg : Günther Ziner,Internet Archive,2025-11-19T09:09:21.651407
McGillLibrary-osl_ad-sanctissimum_folioWZ230S211s1473-23780,Ad sanctissimu[m] & B. Patre[m] & D.D. Paulum ii. P.M. liber incipit dictus Speculum uit[a]e human[a]e ..,"Sánchez de Arévalo, Rodrigo, 1404-1470",1473-01-01T00:00:00Z,1473,Latin,[324] pages (last pages blank) 29 cm,"Impressus est ... Rom[a]e, in domo ... Ioha[n]nis Philippi de Lignami ...",Internet Archive,2025-11-19T09:09:21.651420
McGillLibrary-osl_de-officiis-paradoxa_folioWZ230C568o1480-23783,De officiis ; paradoxa ; de amicitia ... de senectute,"Cicero, Marcus Tullius",1480-01-01T00:00:00Z,1480,Latin,90 leaves ; 29 cm,Venetiis : Per philippum quondam petri veneti,Internet Archive,2025-11-19T09:09:21.651430
